§;pela fx de São Pedro até 29BIB e Residencial Lopes
@;Via Patronato-Volta pela Av exercito fazendo Patronato na volta nao entra na cauduro e santa catarina vindo pela terezina porto velho e florianopolis e fx de rosario
*;Carro do Patronato
**;Até 29° BIB
&;Sai do 29º BIB
#;Até Cism
2;da fim de linha no bairro
Bm;Boi Morto
BMEspRl##;Sai as 07:09 do Res. Lopes , Rua Florianópolis ( Vila Rossi ), BR 158, Centro ( itiner. Normal)
Cb;Castelo Branco
CV;Volta pela Cap Vasco Da Cunha
FxR;Faixa de Rosário
L;Móveis Lenhart
MS;Via av mauricio sirotsck sobrinho
Rl;Residencial Lopes
S;Faixa de São Pedro
SC;Sai da vila Santa Catarina
Ss;Vila São Serafim
Vr;Vila Rossi