0181;PASSO DAS TROPAS
181A;PASSO DAS TROPAS PAU A PIQUE
181R;PASSO DAS TROPAS MINUANO RODOVIARIA VIA SANTOS E URLANDIA
181B;PASSO DAS TROPAS VIA FRIGORIFICO SILVA
181G;PASSO DAS TROPAS VIA MINUANO
181F;PASSO DAS TROPAS VIA SANTA MATE
181Q;PASSO DAS TROPAS ANTAO ABRANTES
181Y;PASSO DAS TROPAS FRIGORIFICO SILVA SEMINARIO
181K;PASSO DAS TROPAS PARQUE DOM ANTONIO REIS
0181;PASSO DAS TROPAS
181A;PASSO DAS TROPAS PAU A PIQUE
181Q;PASSO DAS TROPAS ANTAO ABARANTES
181R;PASSO DAS TROPAS MINUANO RODOVIARIA VIA SANTOS E URLANDIA
181B;PASSO DAS TROPAS FRIGORIFICO SILVA
181F;PASSO DAS TROPAS VIA SANTA MATE
181G;PASSO DAS TROPAS VIA MINUANO
181Q;PASSO DAS TROPAS ANTAO ABRANTES